,asd_desc,agg_level_desc,year,crop,info,class_desc,domain_desc,unit_desc,commodity_desc,value
3,EAST,AGRICULTURAL DISTRICT,2010,BARLEY ,ACRES HARVESTED,ALL CLASSES,TOTAL,ACRES,BARLEY,304000
8,EAST,AGRICULTURAL DISTRICT,2010,BARLEY ,"YIELD, MEASURED IN BU / ACRE",ALL CLASSES,TOTAL,BU / ACRE,BARLEY,83.8
23,EAST,AGRICULTURAL DISTRICT,2010,"BEANS, DRY EDIBLE, INCL CHICKPEAS ",ACRES HARVESTED,"DRY EDIBLE, INCL CHICKPEAS",TOTAL,ACRES,BEANS,500
27,EAST,AGRICULTURAL DISTRICT,2010,"BEANS, DRY EDIBLE, INCL CHICKPEAS ","YIELD, MEASURED IN LB / ACRE","DRY EDIBLE, INCL CHICKPEAS",TOTAL,LB / ACRE,BEANS,1600
63,EAST,AGRICULTURAL DISTRICT,2010,"HAY, ALFALFA ",ACRES HARVESTED,ALFALFA,TOTAL,ACRES,HAY,519000
68,EAST,AGRICULTURAL DISTRICT,2010,"HAY, ALFALFA ","YIELD, MEASURED IN TONS / ACRE",ALFALFA,TOTAL,TONS / ACRE,HAY,3.75
97,EAST,AGRICULTURAL DISTRICT,2010,OATS ,ACRES HARVESTED,ALL CLASSES,TOTAL,ACRES,OATS,9000
100,EAST,AGRICULTURAL DISTRICT,2010,OATS ,"YIELD, MEASURED IN BU / ACRE",ALL CLASSES,TOTAL,BU / ACRE,OATS,82.2
111,EAST,AGRICULTURAL DISTRICT,2010,SUGARBEETS ,ACRES HARVESTED,ALL CLASSES,TOTAL,ACRES,SUGARBEETS,38200
116,EAST,AGRICULTURAL DISTRICT,2010,SUGARBEETS ,"YIELD, MEASURED IN TONS / ACRE",ALL CLASSES,TOTAL,TONS / ACRE,SUGARBEETS,30.4
123,EAST,AGRICULTURAL DISTRICT,2010,"WHEAT, SPRING, (EXCL DURUM) ",ACRES HARVESTED,"SPRING, (EXCL DURUM)",TOTAL,ACRES,WHEAT,407000
128,EAST,AGRICULTURAL DISTRICT,2010,"WHEAT, SPRING, (EXCL DURUM) ","YIELD, MEASURED IN BU / ACRE","SPRING, (EXCL DURUM)",TOTAL,BU / ACRE,WHEAT,81.6
132,EAST,AGRICULTURAL DISTRICT,2010,"WHEAT, SPRING, (EXCL DURUM), IRRIGATED ",ACRES HARVESTED,"SPRING, (EXCL DURUM)",TOTAL,ACRES,WHEAT,301000
136,EAST,AGRICULTURAL DISTRICT,2010,"WHEAT, SPRING, (EXCL DURUM), IRRIGATED ","YIELD, MEASURED IN BU / ACRE","SPRING, (EXCL DURUM)",TOTAL,BU / ACRE,WHEAT,98.7
140,EAST,AGRICULTURAL DISTRICT,2010,"WHEAT, SPRING, (EXCL DURUM), NON-IRRIGATED ",ACRES HARVESTED,"SPRING, (EXCL DURUM)",TOTAL,ACRES,WHEAT,106000
144,EAST,AGRICULTURAL DISTRICT,2010,"WHEAT, SPRING, (EXCL DURUM), NON-IRRIGATED ","YIELD, MEASURED IN BU / ACRE","SPRING, (EXCL DURUM)",TOTAL,BU / ACRE,WHEAT,33
151,EAST,AGRICULTURAL DISTRICT,2010,"WHEAT, WINTER ",ACRES HARVESTED,WINTER,TOTAL,ACRES,WHEAT,224000
156,EAST,AGRICULTURAL DISTRICT,2010,"WHEAT, WINTER ","YIELD, MEASURED IN BU / ACRE",WINTER,TOTAL,BU / ACRE,WHEAT,77.7
160,EAST,AGRICULTURAL DISTRICT,2010,"WHEAT, WINTER, IRRIGATED ",ACRES HARVESTED,WINTER,TOTAL,ACRES,WHEAT,134000
164,EAST,AGRICULTURAL DISTRICT,2010,"WHEAT, WINTER, IRRIGATED ","YIELD, MEASURED IN BU / ACRE",WINTER,TOTAL,BU / ACRE,WHEAT,107.5
168,EAST,AGRICULTURAL DISTRICT,2010,"WHEAT, WINTER, NON-IRRIGATED ",ACRES HARVESTED,WINTER,TOTAL,ACRES,WHEAT,90000
172,EAST,AGRICULTURAL DISTRICT,2010,"WHEAT, WINTER, NON-IRRIGATED ","YIELD, MEASURED IN BU / ACRE",WINTER,TOTAL,BU / ACRE,WHEAT,33.3
190,EAST,AGRICULTURAL DISTRICT,2010,POTATOES ,ACRES HARVESTED,ALL CLASSES,TOTAL,ACRES,POTATOES,207000
195,EAST,AGRICULTURAL DISTRICT,2010,POTATOES ,"YIELD, MEASURED IN CWT / ACRE",ALL CLASSES,TOTAL,CWT / ACRE,POTATOES,357
2,SOUTH CENTRAL,AGRICULTURAL DISTRICT,2010,BARLEY ,ACRES HARVESTED,ALL CLASSES,TOTAL,ACRES,BARLEY,129000
7,SOUTH CENTRAL,AGRICULTURAL DISTRICT,2010,BARLEY ,"YIELD, MEASURED IN BU / ACRE",ALL CLASSES,TOTAL,BU / ACRE,BARLEY,118.3
22,SOUTH CENTRAL,AGRICULTURAL DISTRICT,2010,"BEANS, DRY EDIBLE, INCL CHICKPEAS ",ACRES HARVESTED,"DRY EDIBLE, INCL CHICKPEAS",TOTAL,ACRES,BEANS,56700
